雲鬟濕未開，羅袂亂時作。 白露凋伤花，始入望鄉国。
長街芳樹晚，細雨小橋初。 若爲催別恨，更著落花流。
遠山臨漢晉，江漢水悠悠。 爲報東南去，乘槎正有愁。
碧玉一片紅，瑤台人易驚。 千尋萬丈斷，猶作隔秋情。
夕煙紅葉下，月色碧池中。 何事愁離亂，空庭滿暮風。
輕雲隱錦城，清露濕瓊宮。 爲妾攀玉树，離筵醉玉龍。
憶昔同遊處，今秋別意多。 因君贈我意，似夢覺離愁。
聞道湘江水，清平亦少愁。 新成五十六，別有一時流。
青山南北路，萬里亦應離。 莫上南樓去，秋風愁殺歸。
洛陽河水北，洛陽故國春。 莫愁無酒食，何處問征人。
朝遊白帝暮江州，白帝秋鶯啼欲休。 一片行雲生遠水，朝來寒雨暮江愁。
江城日落起離情，紅燭青爐掩客心。 唯有愁人知暗度，自教催取管弦聲。
江春自與無愁客，江畔三春無一人。 獨立江頭風浪裏，江花落盡江魚肥。
一夜春深三四樹，萬家明月千行淚。 愁殺小桃紅樹枝，不知人意何如此。
世人情緒任浮沈，離別心情盡著深。 不必看逢花月夜，花開月盡亦離心。
九日長安舊會賓，青樓笛奏柳城春。 銀臺金闕三千歲，誰遣離人照水頻。
萬里西風塞草衰，念歸京兆錦衣時。 那堪匹馬望京口，腸斷沙場度曉鼙。
一片黃梅吹雨過，綠楊衰盡紅羅閣。 行人笑語拂行塵，知向春城作別離。
揚揚何人付酒中，妾本殷勤不愛穷。 一日一啼春一恨，爲君不惜妾千紅。
寥落三秋此悲身，遠愁偏向玉關人。 一杯且莫销難勻，淚爲先聲淚自春。
